,Times jogando em casa,Times visitantes,Resultado casa:visita
0,Atlético-MG,Vitória,2 : 2
1,Atlético-PR,Vasco,5 : 1
2,Bahia,Fluminense,1 : 2
3,Botafogo,Criciúma,3 : 0
4,Goias,Santos,0 : 3
5,Internacional,Ponte Preta,0 : 0
6,Portuguesa,Grêmio,0 : 0
7,São Paulo,Coritiba,0 : 1
8,Náutico,Corinthians,1 : 0
9,Flamengo,Cruzeiro,1 : 1
10,Grêmio,Goias,1 : 0
11,Santos,Atlético-PR,2 : 1
12,Coritiba,Botafogo,2 : 1
13,Criciúma,São Paulo,1 : 0
14,Cruzeiro,Bahia,1 : 2
15,Ponte Preta,Portuguesa,0 : 2
16,Vasco,Náutico,2 : 0
17,Vitória,Flamengo,4 : 2
18,Corinthians,Internacional,0 : 0
19,Fluminense,Atlético-MG,2 : 2
20,Bahia,Portuguesa,1 : 0
21,Internacional,Coritiba,0 : 0
22,São Paulo,Botafogo,1 : 1
23,Atlético-PR,Náutico,6 : 1
24,Flamengo,Corinthians,1 : 0
25,Ponte Preta,Grêmio,1 : 1
26,Santos,Fluminense,1 : 0
27,Atlético-MG,Goias,4 : 1
28,Criciúma,Vitória,1 : 1
29,Vasco,Cruzeiro,2 : 1
30,Goias,Internacional,3 : 1
31,Grêmio,Flamengo,2 : 1
32,Náutico,Bahia,0 : 1
33,Portuguesa,Atlético-MG,2 : 0
34,Corinthians,Vasco,0 : 0
35,Cruzeiro,Ponte Preta,2 : 2
36,Fluminense,São Paulo,2 : 1
37,Vitória,Santos,2 : 0
38,Coritiba,Criciúma,1 : 2
39,Botafogo,Atlético-PR,4 : 0
40,Atlético-MG,Internacional,2 : 1
41,Fluminense,Náutico,2 : 0
42,Santos,Bahia,3 : 0
43,Coritiba,Corinthians,0 : 1
44,São Paulo,Flamengo,2 : 0
45,Vitória,Cruzeiro,1 : 3
46,Botafogo,Portuguesa,0 : 0
47,Criciúma,Atlético-PR,2 : 1
48,Goias,Ponte Preta,2 : 0
49,Grêmio,Vasco,1 : 0
50,Corinthians,Fluminense,1 : 0
51,Náutico,Criciúma,0 : 1
52,Vasco,Santos,2 : 2
53,Atlético-PR,São Paulo,3 : 0
54,Cruzeiro,Grêmio,3 : 0
55,Internacional,Botafogo,2 : 1
56,Ponte Preta,Vitória,0 : 3
57,Flamengo,Goias,1 : 1
58,Bahia,Atlético-MG,0 : 0
59,Portuguesa,Coritiba,0 : 0
60,Atlético-PR,Internacional,1 : 0
61,Criciúma,Ponte Preta,1 : 1
62,Flamengo,Fluminense,1 : 0
63,Goias,Botafogo,1 : 0
64,Grêmio,Bahia,0 : 0
65,Santos,Cruzeiro,0 : 1
66,Vitória,Corinthians,1 : 1
67,Atlético-MG,Náutico,5 : 0
68,São Paulo,Portuguesa,2 : 1
69,Vasco,Coritiba,2 : 1
70,Coritiba,Grêmio,4 : 0
71,Fluminense,Vitória,2 : 3
72,Náutico,Goias,0 : 2
73,Bahia,Atlético-PR,1 : 1
74,Corinthians,Santos,1 : 1
75,Internacional,São Paulo,2 : 3
76,Ponte Preta,Vasco,2 : 1
77,Portuguesa,Flamengo,0 : 0
78,Botafogo,Atlético-MG,1 : 0
79,Cruzeiro,Criciúma,5 : 3
80,Botafogo,Vasco,2 : 2
81,Coritiba,Cruzeiro,2 : 1
82,Portuguesa,Vitória,1 : 1
83,Atlético-MG,Flamengo,1 : 0
84,Bahia,São Paulo,0 : 1
85,Goias,Atlético-PR,3 : 0
86,Internacional,Grêmio,2 : 2
87,Corinthians,Criciúma,1 : 0
88,Náutico,Santos,1 : 5
89,Fluminense,Ponte Preta,1 : 1
90,Vitória,Botafogo,1 : 0
91,Vasco,Goias,0 : 2
92,Atlético-PR,Atlético-MG,1 : 0
93,Flamengo,Bahia,2 : 1
94,Grêmio,Corinthians,1 : 0
95,Criciúma,Portuguesa,1 : 3
96,Ponte Preta,Coritiba,1 : 0
97,São Paulo,Náutico,3 : 0
98,Cruzeiro,Fluminense,1 : 0
99,Santos,Internacional,0 : 0
100,Atlético-PR,Portuguesa,1 : 0
101,Botafogo,Flamengo,2 : 1
102,Goias,Bahia,3 : 1
103,Atlético-MG,Cruzeiro,1 : 0
104,Criciúma,Vasco,3 : 2
105,Internacional,Náutico,4 : 1
106,São Paulo,Corinthians,0 : 0
107,Santos,Ponte Preta,2 : 1
108,Fluminense,Grêmio,1 : 1
109,Vitória,Coritiba,2 : 1
