,Times jogando em casa,Times visitantes,Resultado casa:visita
0,Atlético-GO,Bahia,0 : 1
1,Atlético-MG,Cruzeiro,3 : 2
2,Coritiba,Figueirense,3 : 0
3,Fluminense,Vasco,1 : 2
4,Grêmio,Internacional,0 : 0
5,Náutico,Sport Recife,1 : 0
6,Portuguesa,Ponte Preta,0 : 0
7,São Paulo,Corinthians,3 : 1
8,Flamengo,Botafogo,2 : 2
9,Santos,Palmeiras,3 : 1
10,Bahia,Náutico,1 : 1
11,Botafogo,Atlético-MG,2 : 3
12,Cruzeiro,Coritiba,2 : 1
13,Figueirense,Grêmio,2 : 4
14,Internacional,Portuguesa,0 : 2
15,Palmeiras,Atlético-GO,1 : 2
16,Ponte Preta,São Paulo,0 : 0
17,Sport Recife,Fluminense,1 : 1
18,Corinthians,Santos,1 : 1
19,Vasco,Flamengo,1 : 1
20,Internacional,Corinthians,0 : 2
21,Portuguesa,Grêmio,2 : 2
22,Sport Recife,Botafogo,2 : 0
23,Atlético-MG,Atlético-GO,2 : 2
24,Bahia,Ponte Preta,1 : 0
25,Flamengo,Palmeiras,1 : 1
26,Fluminense,Cruzeiro,0 : 2
27,São Paulo,Náutico,2 : 1
28,Coritiba,Vasco,1 : 2
29,Santos,Figueirense,2 : 0
30,Cruzeiro,Bahia,3 : 1
31,Figueirense,Sport Recife,1 : 1
32,Náutico,Flamengo,0 : 1
33,Ponte Preta,Internacional,1 : 0
34,Grêmio,São Paulo,2 : 1
35,Palmeiras,Fluminense,2 : 3
36,Vasco,Atlético-MG,1 : 1
37,Corinthians,Coritiba,5 : 1
38,Atlético-GO,Santos,2 : 1
39,Botafogo,Portuguesa,3 : 0
40,Coritiba,Atlético-MG,1 : 0
41,Náutico,Internacional,3 : 0
42,Portuguesa,Bahia,0 : 1
43,Atlético-GO,Corinthians,0 : 2
44,Palmeiras,Botafogo,2 : 2
45,São Paulo,Fluminense,1 : 1
46,Vasco,Sport Recife,0 : 3
47,Flamengo,Figueirense,1 : 0
48,Cruzeiro,Santos,0 : 4
49,Grêmio,Ponte Preta,1 : 0
50,Atlético-MG,Flamengo,1 : 1
51,Bahia,Grêmio,1 : 1
52,Botafogo,Atlético-GO,4 : 0
53,Figueirense,Portuguesa,0 : 0
54,Sport Recife,São Paulo,2 : 4
55,Corinthians,Vasco,1 : 0
56,Internacional,Palmeiras,2 : 1
57,Fluminense,Coritiba,2 : 1
58,Ponte Preta,Cruzeiro,1 : 0
59,Santos,Náutico,0 : 0
60,Figueirense,Botafogo,0 : 2
61,Vasco,Internacional,1 : 2
62,Atlético-GO,Sport Recife,0 : 1
63,Ponte Preta,Santos,1 : 0
64,Atlético-MG,Fluminense,3 : 2
65,Flamengo,São Paulo,1 : 0
66,Náutico,Portuguesa,0 : 0
67,Corinthians,Bahia,1 : 1
68,Grêmio,Coritiba,0 : 0
69,Palmeiras,Cruzeiro,2 : 0
70,Botafogo,Vasco,3 : 2
71,São Paulo,Atlético-GO,2 : 0
72,Sport Recife,Ponte Preta,3 : 1
73,Cruzeiro,Corinthians,2 : 0
74,Portuguesa,Flamengo,0 : 0
75,Santos,Atlético-MG,2 : 2
76,Bahia,Palmeiras,0 : 1
77,Coritiba,Náutico,2 : 1
78,Fluminense,Grêmio,2 : 2
79,Internacional,Figueirense,2 : 3
80,Fluminense,Ponte Preta,2 : 1
81,Grêmio,Botafogo,1 : 1
82,Atlético-MG,Sport Recife,2 : 1
83,Coritiba,Bahia,2 : 1
84,Náutico,Palmeiras,1 : 0
85,Santos,Vasco,2 : 0
86,São Paulo,Figueirense,2 : 0
87,Portuguesa,Corinthians,1 : 1
88,Atlético-GO,Internacional,3 : 1
89,Flamengo,Cruzeiro,1 : 1
90,Palmeiras,Coritiba,0 : 1
91,Sport Recife,Grêmio,1 : 3
92,Corinthians,Flamengo,3 : 2
93,Internacional,Atlético-MG,3 : 0
94,Vasco,São Paulo,0 : 2
95,Bahia,Fluminense,0 : 2
96,Botafogo,Santos,0 : 2
97,Cruzeiro,Portuguesa,2 : 0
98,Figueirense,Atlético-GO,3 : 1
99,Ponte Preta,Náutico,2 : 1
100,Atlético-MG,Figueirense,6 : 0
101,Fluminense,Botafogo,1 : 0
102,Grêmio,Cruzeiro,2 : 1
103,Atlético-GO,Vasco,0 : 1
104,Náutico,Corinthians,2 : 1
105,Santos,Internacional,1 : 1
106,São Paulo,Palmeiras,3 : 0
107,Coritiba,Ponte Preta,1 : 0
108,Flamengo,Bahia,0 : 0
109,Portuguesa,Sport Recife,5 : 1
