,Times jogando em casa,Times visitantes,Resultado casa:visita
0,Atlético-GO,Fluminense,1 : 1
1,Atlético-MG,Grêmio,4 : 3
2,Atlético-PR,Palmeiras,3 : 0
3,Botafogo,Cruzeiro,2 : 2
4,Chapecoense,Coritiba,2 : 1
5,Santos,Avaí,1 : 1
6,São Paulo,Bahia,1 : 1
7,Sport Recife,Corinthians,1 : 0
8,Vasco,Ponte Preta,2 : 1
9,Vitória,Flamengo,1 : 2
10,Palmeiras,Botafogo,2 : 0
11,Bahia,Chapecoense,0 : 1
12,Flamengo,Santos,1 : 2
13,Avaí,Atlético-PR,1 : 0
14,Corinthians,Atlético-MG,2 : 2
15,Coritiba,São Paulo,1 : 2
16,Cruzeiro,Vasco,0 : 1
17,Grêmio,Atlético-GO,1 : 1
18,Ponte Preta,Vitória,2 : 3
19,Fluminense,Sport Recife,1 : 2
20,Avaí,Palmeiras,2 : 1
21,Fluminense,Ponte Preta,2 : 0
22,Atlético-MG,Coritiba,3 : 0
23,Atlético-PR,Vasco,3 : 1
24,Santos,Grêmio,1 : 0
25,Atlético-GO,Chapecoense,1 : 1
26,Flamengo,Corinthians,3 : 0
27,São Paulo,Botafogo,0 : 0
28,Sport Recife,Bahia,1 : 0
29,Vitória,Cruzeiro,1 : 1
30,Bahia,Santos,3 : 1
31,Coritiba,Flamengo,1 : 0
32,Botafogo,Atlético-GO,1 : 2
33,Chapecoense,Vitória,2 : 1
34,Palmeiras,Sport Recife,5 : 1
35,Corinthians,Fluminense,3 : 1
36,Vasco,Atlético-MG,1 : 1
37,Cruzeiro,Avaí,2 : 2
38,Grêmio,São Paulo,1 : 0
39,Ponte Preta,Atlético-PR,2 : 1
40,Chapecoense,Santos,2 : 0
41,Coritiba,Ponte Preta,1 : 1
42,Cruzeiro,Fluminense,3 : 1
43,Bahia,Atlético-MG,2 : 2
44,Atlético-GO,Sport Recife,2 : 0
45,Grêmio,Vitória,1 : 1
46,Palmeiras,Flamengo,2 : 0
47,Vasco,São Paulo,1 : 1
48,Corinthians,Avaí,1 : 0
49,Botafogo,Atlético-PR,0 : 1
50,Fluminense,Coritiba,2 : 2
51,Atlético-MG,Atlético-GO,3 : 2
52,São Paulo,Chapecoense,2 : 2
53,Flamengo,Cruzeiro,2 : 0
54,Santos,Vasco,1 : 2
55,Vitória,Palmeiras,3 : 1
56,Atlético-PR,Corinthians,0 : 1
57,Sport Recife,Botafogo,1 : 2
58,Avaí,Bahia,1 : 2
59,Ponte Preta,Grêmio,0 : 1
60,Chapecoense,Sport Recife,1 : 1
61,Vasco,Vitória,1 : 1
62,Bahia,Ponte Preta,2 : 0
63,Corinthians,Palmeiras,3 : 2
64,Cruzeiro,Atlético-PR,1 : 0
65,Grêmio,Flamengo,3 : 1
66,Coritiba,Avaí,4 : 0
67,Atlético-GO,São Paulo,0 : 1
68,Botafogo,Fluminense,1 : 2
69,Santos,Atlético-MG,3 : 1
70,Palmeiras,Cruzeiro,2 : 2
71,Avaí,Grêmio,2 : 2
72,Sport Recife,Coritiba,3 : 4
73,Vitória,Atlético-GO,1 : 1
74,Atlético-MG,Botafogo,0 : 0
75,Fluminense,Bahia,1 : 1
76,Ponte Preta,Corinthians,1 : 0
77,Atlético-PR,Chapecoense,0 : 0
78,Flamengo,Vasco,0 : 0
79,São Paulo,Santos,2 : 1
80,Botafogo,Corinthians,2 : 1
81,Chapecoense,Fluminense,2 : 0
82,Ponte Preta,Avaí,1 : 2
83,Atlético-PR,Sport Recife,2 : 1
84,Bahia,Vitória,2 : 1
85,Cruzeiro,Atlético-MG,1 : 3
86,Grêmio,Palmeiras,1 : 3
87,Santos,Atlético-GO,1 : 0
88,São Paulo,Flamengo,2 : 0
89,Vasco,Coritiba,1 : 1
90,Flamengo,Bahia,4 : 1
91,Sport Recife,Santos,1 : 1
92,Palmeiras,Ponte Preta,2 : 0
93,Vitória,Atlético-PR,2 : 3
94,Avaí,Botafogo,1 : 1
95,Corinthians,Grêmio,0 : 0
96,Fluminense,São Paulo,3 : 1
97,Atlético-MG,Chapecoense,2 : 3
98,Atlético-GO,Vasco,0 : 1
99,Coritiba,Cruzeiro,1 : 0
100,Santos,Vitória,2 : 2
101,Bahia,Corinthians,2 : 0
102,Coritiba,Grêmio,0 : 1
103,Atlético-GO,Palmeiras,1 : 3
104,Chapecoense,Flamengo,0 : 1
105,Fluminense,Avaí,1 : 0
106,Sport Recife,Atlético-MG,1 : 1
